X,Y,OBJECTID,CommunityName,EntityName,LocalityType,IncorporationType,IncorporationDate,BoroughOrCensusArea,PublicEducationPowers,PlanningAndLandUseRegulation,PropertyTax,SalesTax,OtherPowersNotProhibited,CityCouncilAssemblyComposition,ElectionAndTermOfMayor,VoteByMayorForCities,VetoPowerOfTheMayor,PowerOfEminentDomainCitiesOnly,AbilityToAttainHomeRuleStatus,ProvideTransportationSystems,LicenseDayCareFacilitiesBorough,ProvideAdditionalServiceBorough,DataYear,AsOfDate
-132.95776302,56.8109592000001,116,Petersburg Borough,Petersburg Borough,Borough,Non-Unified Home Rule Borough,2013,Petersburg Borough,Must provide the service areawide in accordance with AS 14.,"Must exercise the powers areawide, but not necessarily in accordance with AS 29.40.","Limited to 30 mills except where a higher levy is necessary to avoid debt; voter approval to levy property taxes is required by some charters.","The rate of levy may be limited by charter, and voter approval to levy sales taxes may be required by charter.",Determined by charter or ordinance.,"Flexible; determined according to AS 29.20.",Established by charter or ordinance AS 29.20.,,Established by charter or ordinance.,,Already has home rule status.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,,2018/05/18 08:00:00+00
-157.57733276,57.5642993500001,117,Pilot Point,City of Pilot Point,Community,2nd Class City,1992,Lake and Peninsula Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-162.88313585,61.9372025100001,118,Pilot Station,City of Pilot Station,Community,2nd Class City,1969,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.81475033,59.00848275,119,Platinum,City of Platinum,Community,2nd Class City,1975,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-166.73427192,68.34808223,120,Point Hope,City of Point Hope,Community,2nd Class City,1966,North Slope Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-134.64699558,56.2492376800001,121,Port Alexander,City of Port Alexander,Community,2nd Class City,1974,Prince of Wales-Hyder Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-158.61901559,56.93007699,122,Port Heiden,City of Port Heiden,Community,2nd Class City,1972,Lake and Peninsula Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-152.88344189,57.86662239,123,Port Lions,City of Port Lions,Community,2nd Class City,1966,Kodiak Island Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.9006125,59.7514267400001,124,Quinhagak,City of Quinhagak,Community,2nd Class City,1969,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-155.48894931,64.7392281,125,Ruby,City of Ruby,Community,2nd Class City,1973,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.32349606,61.78384234,126,Russian Mission,City of Russian Mission,Community,2nd Class City,1970,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-169.54528,56.6014257,127,Saint George,City of Saint George,Community,2nd Class City,1983,Aleutians West Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-163.17516104,62.0514716000001,128,Saint Mary's,City of Saint Mary's,Community,1st Class City,1967,Kusilvak Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-162.03991035,63.47835158,129,Saint Michael,City of Saint Michael,Community,2nd Class City,1969,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-170.28228831,57.1203994800001,130,Saint Paul,City of Saint Paul,Community,2nd Class City,1971,Aleutians West Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-160.49809006,55.34090243,131,Sand Point,City of Sand Point,Community,1st Class City,1978,Aleutians East Borough,Not permitted to provide this service.,The city may be permitted to exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-170.4840268,63.6929776000001,132,Savoonga,City of Savoonga,Community,2nd Class City,1969,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-131.59761777,55.3189242300001,133,Saxman,City of Saxman,Community,2nd Class City,1929,Ketchikan Gateway Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-165.58157216,61.8428100100001,134,Scammon Bay,City of Scammon Bay,Community,2nd Class City,1967,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-160.01011021,66.60439151,135,Selawik,City of Selawik,Community,2nd Class City,1977,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-151.71857386,59.44059723,136,Seldovia,City of Seldovia,Community,1st Class City,1945,Kenai Peninsula Borough,Not permitted to provide this service.,The city may be permitted to exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-149.43922421,60.10312795,137,Seward,City of Seward,Community,Home Rule City,1912,Kenai Peninsula Borough,Not permitted to provide this service.,May be permitted to exercise powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-159.53059767,62.6553703500001,138,Shageluk,City of Shageluk,Community,2nd Class City,1970,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.19435626,64.3545557,139,Shaktoolik,City of Shaktoolik,Community,2nd Class City,1969,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-166.07076445,66.25510533,140,Shishmaref,City of Shishmaref,Community,2nd Class City,1969,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-157.13819049,66.8880443,141,Shungnak,City of Shungnak,Community,2nd Class City,1967,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-135.33862304,57.0490212600001,142,Sitka,City and Borough of Sitka,Borough,Unified Home Rule Borough,1971,City and Borough of Sitka,Must provide the service areawide in accordance with AS 14.,"Must exercise the powers areawide, but not necessarily in accordance with AS 29.40.","Limited to 30 mills except where a higher levy is necessary to avoid debt; voter approval to levy property taxes is required by some charters.","The rate of levy may be limited by charter, and voter approval to levy sales taxes may be required by charter.",Determined by charter or ordinance.,"Flexible; determined according to AS 29.20.",Established by charter or ordinance AS 29.20.,,Established by charter or ordinance.,,Already has home rule status.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,,2018/05/18 08:00:00+00
-135.31169114,59.45573152,143,Skagway,Municipality of Skagway,Borough,1st Class Borough,2007,Municipality of Skagway,Must provide the service areawide in accordance with AS 14.,"The borough must exercise the powers areawide; in accordance with AS 29.40, the borough may allow cities to assume such powers within their boundaries.","Same as in a home rule borough, except there is no charter. Still, some general law boroughs have more limited taxing authority established by local action.","No limits exist on the rate of levy; however, voter approval is required to levy sales taxes.","May be exercised areawide upon approval of areawide voters or by transfer of powers from all cities; may be exercised by ordinance on a nonareawide or service area basis.","Flexible; determined according to AS 29.20.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",,May vote to break a tie vote.,,Voters may adopt home rule charter.,"May be exercised on an areawide, nonareawide or service area based by ordinance.","May be exercised on an areawide, nonareawide or service area basis by ordinance.","May be exercised areawide upon approval of areawide voters or by transfer of powers from all cities; may be exercised by ordinance on a nonareawide or service area basis.",,2018/05/18 08:00:00+00
-151.06585198,60.4904472100001,144,Soldotna,City of Soldotna,Community,Home Rule City,1967,Kenai Peninsula Borough,Not permitted to provide this service.,May be permitted to exercise powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-162.2914977,63.52380972,145,Stebbins,City of Stebbins,Community,2nd Class City,1969,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-152.0777034,65.17118315,146,Tanana,City of Tanana,Community,1st Class City,1961,Yukon-Koyukuk Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-166.36520237,65.2629568300001,147,Teller,City of Teller,Community,2nd Class City,1963,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-135.22829141,57.7810313900001,148,Tenakee Springs,City of Tenakee Springs,Community,2nd Class City,1971,Hoonah-Angoon Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-132.52282231,55.6854862600001,149,Thorne Bay,City of Thorne Bay,Community,2nd Class City,1982,Prince of Wales-Hyder Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-160.37879111,59.0605115000001,150,Togiak,City of Togiak,Community,2nd Class City,1969,Dillingham Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-165.10723428,60.52954536,151,Toksook Bay,City of Toksook Bay,Community,2nd Class City,1972,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-160.79196516,63.87663037,152,Unalakleet,City of Unalakleet,Community,2nd Class City,1974,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-166.53768178,53.8730924600001,153,Unalaska,City of Unalaska,Community,1st Class City,1942,Aleutians West Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-160.31576292,61.5381853700001,154,Upper Kalskag,City of Upper Kalskag,Community,2nd Class City,1975,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-146.35508078,61.13023788,155,Valdez,City of Valdez,Community,Home Rule City,1901,Valdez-Cordova Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
